time	Vl_filter	Vr_filter	
0.1012880802154541	122	59
0.20349550247192383	120	60
0.30453062057495117	119	62
0.4067566394805908	118	63
0.5079877376556396	117	64
0.6097874641418457	116	65
0.7108480930328369	114	66
0.8120808601379395	113	67
0.9139761924743652	112	68
1.0160174369812012	112	69
1.1170258522033691	111	70
1.2185044288635254	110	71
1.3197057247161865	109	72
1.4212195873260498	108	73
1.5230224132537842	107	74
1.6242554187774658	107	74
1.7260100841522217	106	75
1.827723503112793	105	76
1.9304115772247314	104	76
2.0312917232513428	104	77
2.1333110332489014	103	78
2.234501361846924	103	78
2.335602283477783	102	79
2.436779499053955	101	79
2.5380141735076904	101	80
2.639974594116211	100	80
2.742182731628418	100	81
2.8433735370635986	100	81
2.9458167552948	99	82
3.0477752685546875	99	82
3.1490848064422607	98	83
3.250856399536133	98	83
3.3529715538024902	98	83
3.454176664352417	97	84
3.556504964828491	97	84
3.658874750137329	97	84
3.7600576877593994	96	85
3.861077070236206	96	85
3.9622464179992676	96	85
4.064169883728027	95	85
4.166807174682617	95	86
4.268218040466309	95	86
4.369901895523071	95	86
4.471936225891113	94	86
4.573998689651489	94	87
4.675671100616455	94	87
4.776781797409058	94	87
4.878103256225586	94	87
4.980850696563721	93	87
5.082048177719116	93	87
5.183605194091797	93	88
5.285043954849243	93	88
5.387541055679321	93	88
5.489370584487915	93	88
5.590385675430298	93	88
5.692586183547974	92	88
5.792813539505005	92	88
5.8938493728637695	92	89
5.996208190917969	92	89
6.098157167434692	92	89
6.19959020614624	92	89
6.300813913345337	92	89
6.401942491531372	92	89
6.503552198410034	92	89
6.604855060577393	92	89
6.705732583999634	92	89
6.807354688644409	91	89
6.908456802368164	91	89
7.009472608566284	91	89
7.110526084899902	91	90
7.21173095703125	91	90
7.312799692153931	91	90
7.413838624954224	91	90
7.516184329986572	91	90
7.618503570556641	91	90
7.7198004722595215	91	90
7.820917844772339	91	90
7.922638654708862	91	90
8.025072813034058	91	90
8.12663984298706	91	90
8.227671384811401	91	90
8.329182386398315	91	90
8.431618452072144	91	90
8.533296823501587	91	90
8.635709047317505	91	90
8.737122535705566	91	90
8.83930516242981	91	90
8.940519094467163	91	90
9.04153037071228	91	90
9.142589330673218	91	90
9.244643688201904	91	90
9.345757246017456	90	90
9.447619438171387	90	90
9.55104660987854	90	90
9.652645826339722	90	90
9.753732204437256	90	90
9.856053590774536	90	90
9.957293272018433	90	90
10.058527708053589	90	90
10.160025358200073	90	90
10.261106491088867	90	90
10.362330436706543	90	90
10.463534832000732	90	90
10.566093444824219	90	90
10.668930530548096	90	90
10.770578145980835	90	90
10.871793985366821	90	90
10.97373104095459	90	90
11.076395273208618	90	90
11.178832530975342	90	90
11.27987027168274	90	90
11.379897832870483	90	90
11.481923818588257	90	91
11.583118438720703	90	91
11.685885906219482	90	91
11.787763595581055	90	91
11.889599323272705	90	91
11.990705728530884	90	91
12.092236995697021	90	91
12.194449663162231	90	91
12.295922756195068	90	91
12.39696192741394	90	91
12.498196601867676	90	91
12.599719047546387	90	91
12.701607704162598	90	91
12.802472114562988	90	91
12.903594017028809	90	91
13.005624532699585	90	91
13.1067636013031	90	91
13.209357023239136	90	91
13.311528205871582	90	91
13.413360357284546	90	91
13.516013383865356	90	91
13.617063999176025	90	91
13.719027042388916	90	91
13.82130241394043	90	91
13.922539234161377	90	91
14.024297952651978	90	91
14.125805377960205	90	91
14.227010726928711	90	91
14.328516244888306	90	91
14.429680824279785	90	91
14.531727313995361	90	91
14.63293194770813	90	91
14.734171152114868	90	91
14.835387468338013	90	91
14.936582565307617	90	91
15.037829399108887	90	91
15.139670848846436	90	91
15.2410249710083	90	91
15.34204912185669	90	91
15.443483114242554	90	91
15.544622421264648	90	91
15.646552562713623	90	91
15.748095750808716	90	91
15.849207162857056	90	91
15.95195198059082	90	91
16.053716897964478	90	91
16.155259132385254	90	91
16.256629705429077	90	91
16.35762619972229	90	91
16.460390329360962	90	91
16.561623573303223	90	91
16.664498805999756	90	91
16.76560664176941	90	91
16.866845846176147	90	91
16.968721866607666	90	91
17.069911003112793	90	91
17.172502279281616	90	91
17.273592472076416	90	91
17.374821186065674	90	91
17.476046800613403	90	91
17.578725337982178	90	91
17.680603504180908	90	91
17.78169846534729	90	91
17.882936477661133	90	91
17.98517417907715	90	91
18.086421728134155	90	91
18.193016529083252	90	91
18.294123649597168	90	91
18.395362615585327	90	91
18.498006582260132	90	91
18.599337339401245	90	91
18.70034909248352	90	91
18.80152726173401	90	91
18.903651237487793	90	91
19.006475687026978	90	91
19.107518434524536	90	91
19.20949077606201	90	91
19.309725046157837	90	91
19.4114933013916	90	91
19.512716054916382	90	91
19.61412000656128	90	91
19.71418786048889	90	91
19.816256999969482	90	91
19.917678594589233	90	91
20.018828630447388	90	91
20.120065450668335	90	91
20.22226881980896	90	91
20.323691844940186	90	91
20.425464153289795	90	91
20.526522397994995	90	91
20.627792358398438	90	91
20.72872257232666	90	91
20.82995867729187	90	91
20.931196689605713	90	91
21.032472848892212	90	91
21.13374900817871	90	91
21.23465633392334	90	91
21.33577251434326	90	91
21.43762707710266	90	91
21.539810180664062	90	91
21.640705823898315	90	91
21.74173402786255	90	91
